MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
12.45930697,-5.942429847,12.45930697,1.677708333,0.138294974,556.234,548.17,556.0242702,206,0,0.712316006,-0.252583205,0.712316006,0.252583205,0.473684211,0.684210526,0.894736842,15.99844683,-0.164418933,1.45492907,-2.646948399,1.233684178,-2.973990436,3.807010873,-1.06415195,2.535514015,1496.640704,36.08290377,24.79296298,16.79296298,20.52307313,12.49889574,8.498895737,6.543785505,6.543785505,4.871896595,4.871896595,3.649183778,3.649183778,-5.84,1452010763,16.762858,7.577486476,2.716635454,212.1437731,0,0,52.21515686,6.496859684,24.56730901,5.786794818,30.34295481,55.47150107,0,0,25.04456262,0,0,10.96606845,50.89757081,0,0,29.94447235,0,42.63775833,6.496859684,80.91454615,0,0,0,0,0,0,119.0105927,0,80.91454615,10.96606845,0,0,0,0,364.56,119.0105927,80.91454615,0,0,0,0,0,0,0,0,10.96606845,68.7491232,0,87.62762058,77.35555709,0,-5.942429847,0,-31.94481718,-5.845053855,0,1,38,0,30,0,5,5,0,0,0,17,0,30,10,0,5,5,5,-4.7482,97.3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.70761149,-6.164652069,15.70761149,1.643907313,0.118548514,529.227,521.163,529.0297702,196,0,0.626483499,-0.255880517,0.626483499,0.255880517,0.555555556,0.777777778,1,15.99839253,-0.164416709,1.440486067,-2.650857196,1.233684178,-2.968600534,3.806996212,-1.002545277,2.509049274,1425.862006,34.5055535,23.90721728,15.90721728,19.57969745,12.0991228,8.099122804,6.238394291,6.238394291,4.584281694,4.584281694,3.467283329,3.467283329,-5.31,625112707.4,15.56515656,7.094847665,2.616570943,201.6563328,0,9.846622098,43.9420834,0,24.56730901,5.916629385,20.22863654,55.47150107,0,0,29.43497767,0,0,10.96606845,50.3646748,0,0,29.94447235,0,42.76759289,6.496859684,70.80022788,0,0,0,4.390415048,0,0,114.2171162,0,70.80022788,10.96606845,0,0,0,0,321.42,114.2171162,70.80022788,4.390415048,0,0,0,0,0,0,0,10.96606845,83.64803414,0,77.2566919,64.58829338,0,-6.164652069,0,-31.53539683,-5.792970522,0,1,36,0,27,0,5,5,0,0,0,15,0,28,9,0,5,5,5,-4.0554,91.4288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.03244378,-3.732581727,12.03244378,0.427676682,0.393313423,336.184,332.152,336.0315278,122,0,0.494880325,-0.851666122,0.851666122,0.494880325,0.958333333,1.291666667,1.5,15.998113,-0.179502415,1.483738356,-2.400947106,1.504345829,-2.504037607,4.401840008,-0.957886128,2.767888852,1006.804375,21.60192982,14.9216257,10.9216257,12.82182186,7.424613011,5.424613011,3.716165485,3.716165485,2.410619132,2.410619132,1.434120998,1.434120998,-4.34,907725.8536,11.25694769,5.805922266,2.457555055,134.8676514,30.44169133,11.75997667,9.951944898,10.78570264,0,23.01049811,0,0,9.36360587,0,0,9.846622098,0,28.67411721,25.54271111,23.01049811,10.78570264,19.56096949,0,12.99371937,0,30.18058144,0,11.75997667,10.21305479,23.01049811,11.75997667,0,29.40759158,12.99371937,31.01433918,5.483034225,0,0,9.951944898,0,224.34,66.97442211,30.44169133,0,0,0,0,0,0,0,20.14930851,16.26873687,30.33955404,0,23.62728627,68.99688051,-2.658305514,-6.340251848,0,0,-7.465163454,0,0.25,24,0,16,0,0,0,0,2,2,12,0,16,5,0,0,0,2,-0.28744,66.1428,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.13353623,-5.936679422,11.13353623,2.086805556,0.167641575,434.227,420.115,434.0517137,166,0,0.294066339,-0.312552491,0.312552491,0.294066339,0.551724138,0.793103448,1.034482759,15.998,-0.18000868,1.34E-16,-2.731525395,0.0325,-2.916883286,3.366,-1.068128709,9.115343402,1027.907507,34.99963552,26.80700593,12.80700593,18.6985365,12.68005391,5.680053907,3.354207007,3.354207007,1.694316673,1.694316673,0.91170539,0.91170539,-4.04,83740768.59,9.944107279,12.36565256,11.31196217,177.3260638,24.18794292,32.79492621,0,0,25.43309521,0,4.899909731,0,0,50.57159134,0,0,18.47675359,19.24651081,68.81165792,0,0,4.899909731,0,5.538925252,45.78864558,50.57159134,0,0,0,0,0,0,81.66057578,24.18794292,50.57159134,19.19061979,0,0,0,0,265.09,81.66057578,50.57159134,0,0,0,0,0,0,0,24.18794292,19.19061979,109.696649,0,69.90594994,43.44695885,-5.936679422,0,0,0,-37.6128784,0,1,29,0,21,0,0,0,0,0,0,16,0,21,18,0,0,0,0,-1.9313,79.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.49059772,-3.731319444,12.49059772,0.515810658,0.419610506,314.218,304.138,314.07233,118,0,0.281170983,-0.326317497,0.326317497,0.281170983,1.090909091,1.454545455,1.727272727,14.50888167,-0.245937728,0.437427943,-2.45732467,0.364480419,-2.727418851,3.09847828,-0.928555179,2.989031353,889.9363761,25.18771625,20.02719851,10.02719851,14.23384612,9.866253798,4.971826607,3.427615746,3.427615746,2.183775935,2.183775935,1.533128599,1.533128599,-3.32,2708059.62,6.628474655,5.225930657,2.478142492,135.4273062,10.61962671,10.20281505,25.17196634,11.81435946,11.91910914,0,19.38889383,20.22863654,0,0,0,0,21.92833557,2.741517112,33.44345466,23.7334686,0,20.41944617,10.20281505,25.98743874,0,20.22863654,0,0,10.61962671,0,0,0,55.88157024,9.589074368,20.22863654,24.66985268,10.20281505,2.823684157,0,0,175.68,80.20498119,29.81771091,0,0,0,0,0,0,0,10.20281505,13.78975261,76.03622921,0,45.7016225,22.5813422,0,-7.745869237,0,-7.462638889,-7.444019117,0,0.5,22,2,14,0,2,2,0,0,0,6,2,14,4,0,2,2,2,-2.3626,67.7462,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.4637522,-4.86000496,12.4637522,1.061935941,0.126234559,458.272,448.192,458.0867513,170,0,0.270621892,-0.241192703,0.270621892,0.241192703,0.6875,0.9375,1.125,15.25033057,-0.165879308,0.917649764,-2.709499055,1.106183099,-2.963458288,3.802772942,-0.943590317,2.531572152,1285.577187,32.60192982,24.42140385,14.42140385,18.86490771,12.38830225,7.388302251,5.389899875,5.389899875,4.08428077,4.08428077,3.255570979,3.255570979,-4.66,293782779.2,11.65623417,6.94753433,2.384862617,186.6391192,0,0,44.69656437,0,12.2836545,0,0,50.25709254,0,0,30.26415035,11.062258,15.30645752,21.46614027,33.83684093,0,0,29.83546956,10.22850025,36.85096351,13.24158893,61.34295437,0,0,0,0,0,0,100.0572774,0,40.45727308,13.70758556,10.22850025,0,20.88568129,0,289.52,100.0572774,40.45727308,0,0,0,0,0,0,9.823423295,10.22850025,24.76984356,86.22411628,0,51.74080619,41.44932603,17.88350669,0,0,-28.52404053,-8.773714648,0,1,32,0,24,0,5,5,0,0,0,12,0,24,8,0,5,5,5,-1.8882,89.7656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.26406337,-4.842571925,12.26406337,1.092361111,0.123396195,448.229,440.165,448.0547825,166,0,0.271546327,-0.239920332,0.271546327,0.239920332,0.709677419,0.967741935,1.225806452,15.998,-0.164243682,1.326931036,-2.653795089,1.16735861,-2.952464565,3.807497307,-0.971049473,2.494476637,1262.440082,30.26506652,21.84347324,13.84347324,17.50360628,11.10623703,7.106237027,5.314685274,5.314685274,4.035776688,4.035776688,3.230250311,3.230250311,-4.73,81072051.55,12.07679713,6.131682657,2.177610952,176.9536259,0,0,37.44522371,0,24.56730901,0,0,55.47150107,0,0,30.15881275,5.531128999,7.65322876,14.8453458,36.12763766,0,0,29.94447235,5.114250126,36.85096351,6.620794467,61.01443199,0,0,0,0,0,0,98.57779954,0,50.57159134,10.96606845,5.114250126,0,10.44284065,0,283.9,98.57779954,50.57159134,0,0,0,0,0,0,4.911711647,5.114250126,16.49719745,68.22756488,0,62.07065744,46.49755275,8.837700696,0,0,-28.51585247,-4.367623299,0,1,31,0,24,0,5,5,0,0,0,12,0,24,7,0,5,5,5,-2.9643,82.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.82726474,-5.209222217,11.82726474,1.51982757,0.187829568,474.164,468.116,473.9850907,176,0,0.73369241,-0.423882755,0.73369241,0.423882755,0.625,0.84375,1.03125,16.55011472,-0.165912782,1.202941916,-2.294079715,1.083442905,-2.712577365,3.789902235,-1.054089549,6.122589359,972.0124555,30.76506652,20.0179297,14.0179297,16.90394208,9.250254415,6.355827224,4.259723416,4.259723416,2.451923511,2.451923511,1.074676454,1.074676454,-5.39,19430601.65,17.46686806,9.886057249,5.355880928,177.2040754,9.473725908,0,32.36355045,0,0,42.90915478,60.68590961,25.00323826,0,0,0,0,0,5.483034225,61.70392213,18.21759465,0,10.61962671,0,11.57358964,13.11797049,60.68590961,0,0,10.61962671,14.38361155,0,0,72.44902107,9.473725908,60.68590961,5.483034225,0,2.823684157,0,0,352.57,83.06864778,75.06952116,0,0,0,0,0,0,0,9.473725908,8.306718381,49.18334667,0,85.63575307,62.21740692,0,-10.41844443,-2.824612623,-5.919987796,-9.873461814,0,0.571428571,32,2,25,0,0,0,0,0,0,17,2,25,10,0,0,0,0,-2.4734,81.7918,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13.83067951,-5.405063769,13.83067951,1.452705814,0.204644948,420.15,414.102,419.9960907,156,0,0.648367442,-0.429315489,0.648367442,0.429315489,0.785714286,1.035714286,1.25,16.55094433,-0.165911001,1.179280201,-2.301212924,1.083442905,-2.671365181,3.789902235,-0.958759837,5.734600464,851.1960839,27.61036599,18.2464383,12.2464383,15.01719073,8.450708549,5.556281358,3.648940987,3.648940987,1.878042866,1.878042866,0.726406479,0.726406479,-4.33,3603180.091,14.79946147,8.856490466,5.883225076,156.2291948,9.473725908,19.6932442,2.823684157,0,13.11797049,30.05085342,40.45727308,25.00323826,0,0,8.780830095,0,0,5.483034225,60.63813013,18.21759465,0,10.61962671,0,11.83325877,13.11797049,40.45727308,0,0,10.61962671,23.16444165,0,0,62.8620681,9.473725908,40.45727308,5.483034225,0,2.823684157,0,0,266.29,73.48169481,63.62171472,0,0,0,0,0,0,0,9.473725908,8.306718381,75.53036995,0,66.4900439,38.97684743,0,-10.81012754,-2.736177249,-5.742210018,-9.708746478,0,0.571428571,28,2,19,0,0,0,0,0,0,13,2,21,8,0,0,0,0,-1.0878,70.019,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,2,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.90410683,-3.407175926,11.90410683,0.278306878,0.398337337,322.157,320.141,322.0158778,116,0,0.494970501,-0.851608183,0.851608183,0.494970501,1,1.347826087,1.565217391,16.27864298,-0.164169448,2.021691051,-2.246079576,1.915373332,-2.38093474,4.547057942,-0.795990139,2.775693376,916.7822251,19.10192982,12.4216257,10.4216257,11.57182186,6.174613011,5.174613011,3.592558688,3.592558688,2.338258452,2.338258452,1.413121941,1.413121941,-4.34,268164.1718,12.4044106,5.214304539,2.27199176,125.6927683,30.44169133,11.75997667,16.57273937,10.78570264,0,23.01049811,0,0,9.36360587,0,0,9.846622098,0,12.93888073,22.801194,23.01049811,10.78570264,19.56096949,0,6.620794467,0,30.18058144,0,11.75997667,10.21305479,23.01049811,11.75997667,0,29.40759158,6.620794467,31.01433918,2.741517112,0,0,9.951944898,0,224.34,51.23789134,30.44169133,0,9.36360587,0,0,0,0,0,20.14930851,13.52721976,14.87911187,0,23.62700753,68.55505974,-2.481390779,-5.922612434,0,0,-3.407175926,0,0.142857143,23,0,16,0,0,0,0,2,2,12,0,16,4,0,0,0,2,-0.48184,61.5408,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
